"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance","prevalence"
"1","studyBEECH children","Streptococcus","Genus","`Streptococcus`~study",2.49171347599885,0.196080803425586,12.7075849979596,3.32405240311289e-24,2.7211744069062e-21,0.515384810447449,1
"2","studyBEED","Streptococcus","Genus","`Streptococcus`~study",1.72856165326308,0.259310762071786,6.6659850113917,7.72403588025949e-10,1.0815897390635e-07,0.515384810447449,1
"3","studySEEM","Streptococcus","Genus","`Streptococcus`~study",2.53076016459215,0.222936451517141,11.3519352594413,6.46195217141383e-21,3.82052549712231e-18,0.515384810447449,1
"4","studyBEECH children","Gemella","Genus","`Gemella`~study",1.51525084860272,0.423224166318861,3.58025597116095,0.000491034197830161,0.0252448771840343,0.0596002499622089,0.9921875
"5","studyBEED","Gemella","Genus","`Gemella`~study",1.22002456714507,0.559700792622412,2.17977995247923,0.0311629392663691,0.82542706253845,0.0596002499622089,0.9921875
"6","studySEEM","Gemella","Genus","`Gemella`~study",1.13041355893398,0.481189857380579,2.34920487536361,0.0203942128984105,0.596262412970258,0.0596002499622089,0.9921875
"7","studyBEECH children","Granulicatella","Genus","`Granulicatella`~study",0.329039198429122,0.41467487820725,0.793487176873715,0.429009794436684,1,0.0532882555610335,0.9921875
"8","studyBEED","Granulicatella","Genus","`Granulicatella`~study",0.165544635477724,0.548394625079935,0.301871367637118,0.763255824093336,1,0.0532882555610335,0.9921875
"9","studySEEM","Granulicatella","Genus","`Granulicatella`~study",-0.0316245936084548,0.471469640402155,-0.0670766278428438,0.946628733771704,1,0.0532882555610335,0.9921875
"10","studyBEECH children","Neisseria","Genus","`Neisseria`~study",-6.2999980803455,0.865628387150272,-7.27794764342892,3.39745366670401e-11,6.45650339819663e-09,0.0398907046340291,0.9140625
"11","studyBEED","Neisseria","Genus","`Neisseria`~study",-1.13108439344353,1.14476661060854,-0.988048029145662,0.325053182531785,1,0.0398907046340291,0.9140625
"12","studySEEM","Neisseria","Genus","`Neisseria`~study",-5.17243617645915,0.984186710745626,-5.25554360771696,6.23617124235098e-07,6.32063339476028e-05,0.0398907046340291,0.9140625
"13","studyBEECH children","Actinomyces","Genus","`Actinomyces`~study",2.34708649517404,0.605395168153236,3.87694950115617,0.000170535413199995,0.0095019573958126,0.0137311728923932,0.96875
"14","studyBEED","Actinomyces","Genus","`Actinomyces`~study",-0.171461065485983,0.800616274851041,-0.214161354036781,0.830773001719429,1,0.0137311728923932,0.96875
"15","studySEEM","Actinomyces","Genus","`Actinomyces`~study",0.610770144244458,0.688311390997156,0.887345687189102,0.376610672771526,1,0.0137311728923932,0.96875
"16","studyBEECH children","Peptostreptococcus","Genus","`Peptostreptococcus`~study",1.46809577140888,1.0724331302559,1.36893921867052,0.173492954872849,1,0.00265507125583515,0.6015625
"17","studyBEED","Peptostreptococcus","Genus","`Peptostreptococcus`~study",-1.67701342591641,1.41825944926437,-1.18244474012583,0.23929166627021,1,0.00265507125583515,0.6015625
"18","studySEEM","Peptostreptococcus","Genus","`Peptostreptococcus`~study",-3.54336984097617,1.21931587576039,-2.90603108793811,0.00433668758174134,0.157515169283697,0.00265507125583515,0.6015625
"19","studyBEECH children","Prevotella_7","Genus","`Prevotella_7`~study",-8.62374859881785,0.897413109936836,-9.60956387123075,1.1166255992318e-16,4.24405904139828e-14,0.0211020208986906,0.8359375
"20","studyBEED","Prevotella_7","Genus","`Prevotella_7`~study",-3.30255662498872,1.18680091760867,-2.78273851661925,0.00623400266083571,0.219680702459502,0.0211020208986906,0.8359375
"21","studySEEM","Prevotella_7","Genus","`Prevotella_7`~study",-7.81089872722347,1.02032473745043,-7.65530662986888,4.70630037109789e-12,9.82067488618217e-10,0.0211020208986906,0.8359375
"22","studyBEECH children","Alloprevotella","Genus","`Alloprevotella`~study",-8.2688165054866,0.97667898344136,-8.46625825442784,6.07105024825437e-14,1.53831900412656e-11,0.0299294279086778,0.8203125
"23","studyBEED","Alloprevotella","Genus","`Alloprevotella`~study",-3.11311672791956,1.29162756920154,-2.41022784133047,0.0174109342416723,0.527063015410996,0.0299294279086778,0.8203125
"24","studySEEM","Alloprevotella","Genus","`Alloprevotella`~study",-8.65501903802524,1.11044703528266,-7.79417546539904,2.25490817642294e-12,5.10578909839679e-10,0.0299294279086778,0.8203125
