"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance","prevalence"
"1","Age2< 2.5 yrs","Streptococcus","Genus","`Streptococcus`~Age2",2.37210512228872,0.18611158303234,12.7456071440568,2.05034617324545e-24,7.81148130494555e-22,0.515384810447449,1
"2","Age2< 2.5 yrs","Gemella","Genus","`Gemella`~Age2",1.35182531137874,0.385249603646516,3.50895964222484,0.000624478586362715,0.0200350365123275,0.0596002499622089,0.9921875
"3","Age2< 2.5 yrs","Granulicatella","Genus","`Granulicatella`~Age2",0.195315384901206,0.377209138130909,0.517790703239597,0.60551224148508,1,0.0532882555610335,0.9921875
"4","Age2< 2.5 yrs","Neisseria","Genus","`Neisseria`~Age2",-5.08211092994107,0.859094475891138,-5.91566011953388,2.91732976820207e-08,2.33990442990465e-06,0.0398907046340291,0.9140625
"5","Age2< 2.5 yrs","Actinomyces","Genus","`Actinomyces`~Age2",1.40599071024294,0.582650892007375,2.41309286492116,0.0172573446160431,0.37040924704043,0.0137311728923932,0.96875
"6","Age2< 2.5 yrs","Peptostreptococcus","Genus","`Peptostreptococcus`~Age2",-0.539978563072898,1.05916099355539,-0.509817267024059,0.611071320541278,1,0.00265507125583515,0.6015625
"7","Age2< 2.5 yrs","Prevotella_7","Genus","`Prevotella_7`~Age2",-7.47190102476397,0.890479627708766,-8.3908725054041,8.36141071827183e-14,1.34128833793063e-11,0.0211020208986906,0.8359375
"8","Age2< 2.5 yrs","Alloprevotella","Genus","`Alloprevotella`~Age2",-7.49662435624397,0.961786708079099,-7.79447698046939,2.09567121737813e-12,2.66138741991872e-10,0.0299294279086778,0.8203125
"9","Age2< 2.5 yrs","Haemophilus","Genus","`Haemophilus`~Age2",-4.79568504465342,0.853799493192641,-5.61687501912276,1.18460638453848e-07,8.39656793459895e-06,0.0413820242307318,0.921875
"10","Age2< 2.5 yrs","Fusobacterium","Genus","`Fusobacterium`~Age2",-4.59697634881105,0.822822598657822,-5.58683774158559,1.36086853520887e-07,9.23552749947676e-06,0.0107012094052059,0.890625
"11","Age2< 2.5 yrs","Actinobacillus","Genus","`Actinobacillus`~Age2",-6.04763605881776,1.1012225785554,-5.49174724218887,2.1054875718797e-07,1.36537207728029e-05,0.00668869600921712,0.53125
"12","Age2< 2.5 yrs","Lactococcus","Genus","`Lactococcus`~Age2",1.0917414348054,0.759063378754769,1.43827441207397,0.152835404765676,1,0.0038958384473281,0.125
"13","Age2< 2.5 yrs","Helicobacter","Genus","`Helicobacter`~Age2",-3.40239587023018,0.922891200363763,-3.68667061609116,0.000336292176119627,0.011263453330167,0.00203829792657185,0.2890625
"14","Age2< 2.5 yrs","Ralstonia","Genus","`Ralstonia`~Age2",3.88016894675472,0.936361167518869,4.14388067484284,6.21800675337895e-05,0.00231117871783985,0.00226331358202633,0.3125
"15","Age2< 2.5 yrs","Burkholderia-Caballeronia-Paraburkholderia","Genus","`Burkholderia-Caballeronia-Paraburkholderia`~Age2",6.1933927053363,0.86695824277979,7.14381892890018,6.43767097146623e-11,7.00756181666069e-09,0.00274966701706068,0.5703125
"16","Age2< 2.5 yrs","Abiotrophia","Genus","`Abiotrophia`~Age2",0.0834661219659115,0.781121686582399,0.106854185973374,0.915074606374809,1,0.00458306445366932,0.890625
"17","Age2< 2.5 yrs","Lachnoanaerobaculum","Genus","`Lachnoanaerobaculum`~Age2",0.41380743704464,0.813073795378166,0.508942041173736,0.611682919939257,1,0.0042198598064679,0.8828125
"18","Age2< 2.5 yrs","Klebsiella","Genus","`Klebsiella`~Age2",-1.2759559997549,0.421230119066417,-3.02911862661397,0.00297623437744971,0.0809925921707183,6.23549427203711e-05,0.0703125
"19","Age2< 2.5 yrs","Prevotella","Genus","`Prevotella`~Age2",-9.06344180968739,0.92997484434428,-9.74589997224922,4.55667397623962e-17,1.06831861760986e-14,0.0121002707175293,0.6796875
