"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance","prevalence"
"1","study2BEED","Streptococcus","Genus","`Streptococcus`~study2",-0.763151822735757,0.234896608553949,-3.24888395551476,0.00159742615516407,0.179045256792597,0.628950222130986,1
"2","study2SEEM","Streptococcus","Genus","`Streptococcus`~study2",0.0390466885933114,0.194652557584937,0.200596843307714,0.841438190736367,1,0.628950222130986,1
"3","study2BEED","Gemella","Genus","`Gemella`~study2",-0.295226281457647,0.552509586094545,-0.534336939824838,0.594343742307458,1,0.0697265305205742,0.98989898989899
"4","study2SEEM","Gemella","Genus","`Gemella`~study2",-0.384837289668739,0.457849965078562,-0.840531438290501,0.402699100848526,1,0.0697265305205742,0.98989898989899
"5","study2BEED","Granulicatella","Genus","`Granulicatella`~study2",-0.163494562951397,0.550771417100849,-0.296846491802353,0.767225021654111,1,0.0569147382497183,0.98989898989899
"6","study2SEEM","Granulicatella","Genus","`Granulicatella`~study2",-0.360663792037576,0.456409590769964,-0.790219573232753,0.431347228775474,1,0.0569147382497183,0.98989898989899
"7","study2BEED","Neisseria","Genus","`Neisseria`~study2",5.16891368690196,1.15643505633331,4.46969646811896,2.14458015563497e-05,0.0064802222005326,0.0217318882672881,0.888888888888889
"8","study2SEEM","Neisseria","Genus","`Neisseria`~study2",1.12756190388634,0.958306902691873,1.17661878540062,0.242256975450495,1,0.0217318882672881,0.888888888888889
"9","study2BEED","Actinomyces","Genus","`Actinomyces`~study2",-2.51854756066002,0.742715614018127,-3.3909985371582,0.00101237152988234,0.136852540111628,0.0162558957637072,0.96969696969697
"10","study2SEEM","Actinomyces","Genus","`Actinomyces`~study2",-1.73631635092958,0.615468629866112,-2.821128919775,0.00581557507109335,0.497895214248344,0.0162558957637072,0.96969696969697
"11","study2BEED","Peptostreptococcus","Genus","`Peptostreptococcus`~study2",-3.1451091973253,1.34422113136029,-2.33972604949499,0.0213695864284173,1,0.00320640404284365,0.565656565656566
"12","study2SEEM","Peptostreptococcus","Genus","`Peptostreptococcus`~study2",-5.01146561238506,1.11392021702562,-4.49894483984374,1.91483038760851e-05,0.0064802222005326,0.00320640404284365,0.565656565656566
"13","study2BEED","Prevotella_7","Genus","`Prevotella_7`~study2",5.32119197382911,1.21570533716065,4.3770408923737,3.06205572007092e-05,0.00873850461990771,0.00615447653581106,0.787878787878788
