"","term","taxon","rank","formula","estimate","std.error","statistic","p.value","p.adj.BY.rank","avg_abundance","prevalence"
"1","study2SEEM","Streptococcus","Genus","`Streptococcus`~study2",0.802198511329069,0.297335911206206,2.69795366484586,0.00985530854128714,0.72271900447476,0.592479366855007,1
"2","study2SEEM","Gemella","Genus","`Gemella`~study2",-0.0896110082110913,0.799418984088435,-0.112095171611759,0.911257778890465,1,0.0699734596915273,0.978260869565217
"3","study2SEEM","Granulicatella","Genus","`Granulicatella`~study2",-0.197169229086181,0.811037122222055,-0.243107526997017,0.80905191048931,1,0.0572642370914015,0.978260869565217
"4","study2SEEM","Neisseria","Genus","`Neisseria`~study2",-4.04135178301563,0.985115605467084,-4.10241372747258,0.000173849922176424,0.0414340238065836,0.0336372118388564,0.956521739130435
"5","study2SEEM","Actinomyces","Genus","`Actinomyces`~study2",0.782231209730438,0.937383837949525,0.83448335469654,0.408516624063837,1,0.00968177589009773,0.956521739130435
"6","study2SEEM","Peptostreptococcus","Genus","`Peptostreptococcus`~study2",-1.86635641505976,1.27330063813946,-1.46576256946425,0.149823330825851,1,0.000648991969228809,0.41304347826087
"7","study2SEEM","Prevotella_7","Genus","`Prevotella_7`~study2",-4.50834210223475,1.13837161547307,-3.96034303821011,0.000270117923619758,0.051713910193019,0.00916268769624541,0.91304347826087
"8","study2SEEM","Alloprevotella","Genus","`Alloprevotella`~study2",-5.54190231010568,1.55682224846802,-3.5597527691804,0.000904891371006706,0.132716735974733,0.0199802191243082,0.760869565217391
"9","study2SEEM","Haemophilus","Genus","`Haemophilus`~study2",-3.02622163739331,1.01348967733019,-2.98594224004847,0.00460526488840629,0.36586087707728,0.0436613151898201,0.978260869565217
"10","study2SEEM","Fusobacterium","Genus","`Fusobacterium`~study2",-5.18745209589685,1.12635675707732,-4.60551425052691,3.50541996216359e-05,0.0161683239542801,0.00562980086870755,0.869565217391304
"11","study2SEEM","Actinobacillus","Genus","`Actinobacillus`~study2",-0.546505634850329,1.62773502731681,-0.335746067805151,0.738658117160771,1,0.00594793459286211,0.673913043478261
"12","study2SEEM","Lactococcus","Genus","`Lactococcus`~study2",0.293771495742946,0.305458975425232,0.9617379726164,0.3414369890561,1,3.71337021784704e-06,0.0434782608695652
"13","study2SEEM","Helicobacter","Genus","`Helicobacter`~study2",-0.762708747869937,0.922966428033356,-0.826366728739101,0.41305485236631,1,0.000119835095516744,0.152173913043478
"14","study2SEEM","Ralstonia","Genus","`Ralstonia`~study2",0.738734719193845,0.68604174703908,1.07680723860054,0.287435125225073,1,3.8540635209971e-05,0.130434782608696
"15","study2SEEM","Burkholderia-Caballeronia-Paraburkholderia","Genus","`Burkholderia-Caballeronia-Paraburkholderia`~study2",6.90283747314897,0.92059412076136,7.49824196947956,2.14179087476824e-09,2.04183040136915e-06,0.00237143148024677,0.673913043478261
"16","study2SEEM","Abiotrophia","Genus","`Abiotrophia`~study2",2.98255995040975,1.22231218411052,2.44009671930103,0.0187808030924662,1,0.00312689464721642,0.826086956521739
"17","study2SEEM","Lachnoanaerobaculum","Genus","`Lachnoanaerobaculum`~study2",-1.60662336544115,1.28960109566569,-1.24582971497229,0.219420038303639,1,0.00393448712106859,0.826086956521739
"18","study2SEEM","Klebsiella","Genus","`Klebsiella`~study2",-0.444326478665922,0.569022894830106,-0.780858701298101,0.439066721674775,1,2.0898699280652e-05,0.0869565217391304
"19","study2SEEM","Prevotella","Genus","`Prevotella`~study2",-4.77587274865398,1.46238054190127,-3.26582077086773,0.00211837498510039,0.260920172416438,0.00547773559595587,0.630434782608696
"20","study2SEEM","Rothia","Genus","`Rothia`~study2",-0.427494883848382,0.761838111359191,-0.561136122588683,0.577551548699356,1,0.0179049643751472,0.978260869565217
"21","study2SEEM","Veillonella","Genus","`Veillonella`~study2",-2.8767798857789,0.913734295936198,-3.14837682964652,0.00294677258381509,0.309606929261292,0.00461633145857744,0.934782608695652
"22","study2SEEM","Mogibacterium","Genus","`Mogibacterium`~study2",1.06134807055938,0.8602228900131,1.23380589249749,0.22382529106942,1,6.53681731362985e-05,0.260869565217391
"23","study2SEEM","Porphyromonas","Genus","`Porphyromonas`~study2",-4.22207110235993,1.38504742874916,-3.04832240017434,0.00388510242766269,0.324898983731802,0.00578292910737113,0.804347826086957
"24","study2SEEM","Oribacterium","Genus","`Oribacterium`~study2",-0.350285228396338,1.36409922470867,-0.256788672005256,0.798538893609755,1,0.000728726300944319,0.58695652173913
