"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.177356027557408,0.289548322879164,0.0721670601122832,2.45757589794379,0.0166223162076665,"(3.590859e-02, 3.188035e-01)","68",0.970147725533296,0.102076693401325
"2","CD",0.0151318055849677,0.217064774887211,0.00992595345974603,1.52446872195539,0.134092929223737,"(-4.323063e-03, 3.458667e-02)","49",0.947716042877536,0.0298770703973557
"3","ESA",0.00214183701920017,0.127809623677237,0.00242436205918023,0.883464171982798,0.381482358910289,"(-2.609913e-03, 6.893587e-03)","49",0.956250800736948,0.0664212253227696
"4","GastricPh_endo",-0.36052913053538,-0.231955025826843,0.2076774736708,-1.7360049896739,0.088373630549331,"(-7.675770e-01, 4.651872e-02)","55",0.97907361299623,0.449299030318885
"5","GLP.2_endo",-0.391399815662792,-0.214077773451154,0.255131473550345,-1.53411027740392,0.131434613106681,"(-8.914575e-01, 1.086579e-01)","51",0.971830989601066,0.263103854369067
"6","hiv_charPositive",-0.659560356043013,-0.109341871525704,0.82360377112645,-0.800822408985484,0.426809921320651,"(-2.273824e+00, 9.547030e-01)","55",0.972070651021069,0.227680982462216
"7","I.FABP_endo",-0.000209014712062638,-0.221513359448871,0.000117811234734751,-1.77414923570939,0.0810290312424329,"(-4.399247e-04, 2.189531e-05)","63",0.978087512497986,0.321802667571426
"8","LAZ_endo",0.345403052344143,0.123209222032519,0.34244379784486,1.00864157715195,0.316830206118607,"(-3.257868e-01, 1.016593e+00)","68",0.979683469335447,0.332021522487741
"9","LBP_new",-0.0173903860890918,-0.536809552445523,0.00379033101841338,-4.5880916480934,2.85662887185848e-05,"(-2.481943e-02, -9.961337e-03)","54",0.928358228745994,0.00314241653408205
"10","LPS_endo",-0.00150010029191722,-0.179594587717329,0.00105206549591697,-1.42586207582993,0.15900576399622,"(-3.562149e-03, 5.619481e-04)","63",0.983442762480351,0.556883676373897
"11","sCD14_endo",-0.000915885403163469,-0.317854788109726,0.000352702835684113,-2.59676223296303,0.0118185346519138,"(-1.607183e-03, -2.245878e-04)","62",0.982506768052729,0.520720146344364
"12","SexMale",-0.901828361584303,-0.154582215875653,0.709480583676454,-1.27111070032547,0.208151007013402,"(-2.292410e+00, 4.887536e-01)","68",0.981374102209774,0.402951525803715
"13","VH",-0.0029097166703899,-0.0595621785686938,0.00711310903850192,-0.409063976756176,0.684350850582397,"(-1.685141e-02, 1.103198e-02)","49",0.957410795069655,0.0741242319278533
"14","WAZ_endo",1.06784586035645,0.485680209425409,0.236573165228698,4.51380806155319,2.68961805210557e-05,"(6.041625e-01, 1.531529e+00)","68",0.991876322399561,0.94011510876405
"15","WHZ_endo",0.803426899080084,0.458660799930194,0.191599631932107,4.19325909438477,8.36812676382158e-05,"(4.278916e-01, 1.178962e+00)","68",0.97620820347886,0.218533220845843
