"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.151757102307781,0.304753015660819,0.066412470662687,2.28506936714589,0.0265000467467801,"(2.158866e-02, 2.819255e-01)","53",0.934544526292354,0.00612961549742428
"2","CD",0.0108506682498694,0.206958107361283,0.00821364447956136,1.32105404328979,0.19418229566808,"(-5.248075e-03, 2.694941e-02)","41",0.908851194740666,0.00305821720163996
"3","ESA",-0.00202029046629637,-0.139353200526814,0.00229882668933207,-0.878835484063122,0.384873250639173,"(-6.525991e-03, 2.485410e-03)","41",0.926850439245344,0.0113682059423437
"4","GastricPh_endo",-0.073913167773281,-0.0582450341577337,0.197848636716732,-0.373584417865388,0.710638382261061,"(-4.616965e-01, 3.138702e-01)","43",0.946821250497315,0.0456736886076619
"5","GLP.2_endo",-0.182246230388871,-0.115760706875703,0.253674038015893,-0.718426811881527,0.476888531841007,"(-6.794473e-01, 3.149549e-01)","40",0.934952892237859,0.0234421743714094
"6","hiv_charPositive",-0.555273263571262,-0.120184600437893,0.744057877505702,-0.746276977044715,0.460092329930115,"(-2.013627e+00, 9.030802e-01)","40",0.923132799792521,0.00967507184506661
"7","I.FABP_endo",0.000144556580722601,0.150133973789693,0.000135991040795765,1.06298606052806,0.292999076464914,"(-1.219859e-04, 4.110990e-04)","51",0.939390534257373,0.011609985355325
"8","LAZ_endo",0.295269953883993,0.108710722923305,0.37807699207289,0.780978372328638,0.438425458952538,"(-4.457610e-01, 1.036301e+00)","53",0.942560823278749,0.0130398589952992
"9","LBP_new",-0.0428113434996812,-0.111355125750006,0.0596687945969537,-0.717482962222717,0.477144323553739,"(-1.597622e-01, 7.413949e-02)","43",0.93500164203461,0.0173201056284708
"10","LPS_endo",0.00284672756385281,0.175724640917414,0.00225536693190205,1.26220151744977,0.212732120310853,"(-1.573792e-03, 7.267247e-03)","52",0.915805786429034,0.00131604415568192
"11","sCD14_endo",-0.000377813521417994,-0.160113982286562,0.00033619258069737,-1.1238008900562,0.266686590480868,"(-1.036751e-03, 2.811239e-04)","50",0.958374356779805,0.0759917991075504
"12","SexMale",-0.289880187142187,-0.0638063291953832,0.634868559439322,-0.456598744467976,0.649898230882124,"(-1.534223e+00, 9.544622e-01)","53",0.945513035456442,0.017338593422069
"13","VH",-0.00789868682597218,-0.210364902979853,0.00587787964952656,-1.3437986649843,0.186779788845577,"(-1.941933e-02, 3.621957e-03)","41",0.927909413242028,0.0123167850366507
"14","WAZ_endo",0.587805079724307,0.219382969929538,0.366044940853344,1.60582762967297,0.114486717460786,"(-1.296430e-01, 1.305253e+00)","53",0.969773017229936,0.19733103182353
"15","WHZ_endo",0.0180599723682795,0.00831155948314787,0.304252723610914,0.0593584575149936,0.95289858620882,"(-5.782754e-01, 6.143953e-01)","53",0.943929863838172,0.0148751084549198
