"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.0154401959750169,0.0844373518937232,0.0388466104481798,0.39746571957967,0.69485419588916,"(-6.069916e-02, 9.157955e-02)","24",0.958772952708373,0.414269593502346
"2","CD",-0.00167296908506694,-0.062495671809548,0.00740997126883466,-0.225772681751578,0.824888945376744,"(-1.619651e-02, 1.285057e-02)","15",0.965089524433945,0.779887532082298
"3","ESA",0.00104049069733215,0.24907309977639,0.00112210231577636,0.927269004531248,0.370682968907004,"(-1.158830e-03, 3.239811e-03)","15",0.96543227928219,0.785623494896691
"4","GastricPh_endo",0.0464085227584774,0.0800190447917382,0.144527175648917,0.321105858120497,0.75228643722973,"(-2.368647e-01, 3.296818e-01)","18",0.945261011276617,0.355569156641458
"5","GLP.2_endo",0.0926389759203897,0.175442817374095,0.150064744242074,0.61732671713318,0.548554457663408,"(-2.014879e-01, 3.867659e-01)","14",0.97030566194471,0.880719328469047
"6","hiv_charPositive",0.0564849066531428,0.0318518609917825,0.377890389109867,0.149474313930542,0.882541192964139,"(-6.841803e-01, 7.971501e-01)","24",0.956640434143711,0.37470918764196
"7","I.FABP_endo",1.77551816856686e-06,0.00773936746400584,6.1311596999863e-05,0.0289589287418305,0.97730611666386,"(-1.183952e-04, 1.219462e-04)","16",0.950350594899024,0.49526156480581
"8","LAZ_endo",0.0438268252067236,0.0904194141298509,0.102916346689519,0.425849018319135,0.674355141248607,"(-1.578892e-01, 2.455429e-01)","24",0.944288964758759,0.203135001220182
"9","LBP_new",-0.00162465129195264,-0.120935426008895,0.00369858523795471,-0.439262903901888,0.667684052387228,"(-8.873878e-03, 5.624576e-03)","15",0.930633543830501,0.278885916458422
"10","LPS_endo",1.92744838968059e-05,0.0124736312937947,0.000446031410163388,0.0432132882519312,0.966242244953917,"(-8.549471e-04, 8.934960e-04)","14",0.931850316722081,0.323863457196243
"11","sCD14_endo",-0.000449110802140894,-0.460160030457223,0.000231586551760258,-1.93927841978415,0.0728909316680549,"(-9.030204e-04, 4.798839e-06)","16",0.937236618913076,0.31653210519639
"12","SexMale",-0.1335907505038,-0.0761347256171829,0.373009512201184,-0.358143012802708,0.723649831604411,"(-8.646894e-01, 5.975079e-01)","24",0.948456772915774,0.25081394173022
"13","VH",0.00425329431332892,0.271855752881338,0.0041758305977617,1.01855049283099,0.326998475414071,"(-3.931334e-03, 1.243792e-02)","15",0.963852184962356,0.758949894172185
"14","WAZ_endo",0.0736048511649633,0.155659775096534,0.0995846584736656,0.739118377198909,0.467648502234404,"(-1.215811e-01, 2.687908e-01)","24",0.940595893503307,0.168188897852729
"15","WHZ_endo",0.107487450723437,0.211978165609996,0.105650563146189,1.0173864437874,0.320028369150405,"(-9.958765e-02, 3.145626e-01)","24",0.933201731719973,0.114963696697457
