"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.0304139564736417,0.211042611568438,0.0162659196234727,1.8697963089497,0.0654149493140842,"(-1.467246e-03, 6.229516e-02)","77",0.95292947756457,0.00628631316678452
"2","CD",0.00421051670936732,0.262996829034402,0.00210195692255704,2.00314129380216,0.0501919688086514,"(9.068114e-05, 8.330352e-03)","56",0.969446761898025,0.165817917469811
"3","ESA",0.000768026187521439,0.197896807339318,0.000517684529833405,1.4835795610284,0.143734117613631,"(-2.466355e-04, 1.782688e-03)","56",0.976195859238935,0.331800345237671
"4","GastricPh_endo",-0.0539935734196301,-0.143534855665107,0.0484661183198297,-1.1140478192069,0.269776537827752,"(-1.489872e-01, 4.100002e-02)","61",0.969338204292658,0.129082598538869
"5","GLP.2_endo",0.00347474777864521,0.00846655394029872,0.0569114129842489,0.0610553770577951,0.951549170589579,"(-1.080716e-01, 1.150211e-01)","54",0.933478956722456,0.00503136653070352
"6","hiv_charPositive",0.0774623922515967,0.0530865069888486,0.185053833678431,0.418593825979327,0.6769595194696,"(-2.852431e-01, 4.401679e-01)","64",0.952466379333751,0.0151600285121239
"7","I.FABP_endo",-2.00584229321909e-05,-0.0899343694798956,2.75518612083e-05,-0.728024244189654,0.469213320764192,"(-7.406007e-05, 3.394323e-05)","67",0.950475087103885,0.00962114188817354
"8","LAZ_endo",0.00143416931391348,0.00270735226358507,0.061167880958662,0.0234464443010983,0.981356427910457,"(-1.184549e-01, 1.213232e-01)","77",0.949656878503405,0.00411349488687329
"9","LBP_new",-0.00348276697374047,-0.481323407427891,0.000847552655160242,-4.10920425124738,0.00013082307984677,"(-5.143970e-03, -1.821564e-03)","58",0.968579547382097,0.137153578860396
"10","LPS_endo",-0.000197684999695169,-0.101609343837838,0.000241933774558768,-0.81710377170654,0.41690051508901,"(-6.718752e-04, 2.765052e-04)","66",0.957470051781092,0.0237152296302912
"11","sCD14_endo",-0.000201681620134521,-0.296469716318579,8.12116965586001e-05,-2.48340606933379,0.0156436301404007,"(-3.608565e-04, -4.250669e-05)","66",0.969194889258512,0.0996737175211347
"12","SexMale",-0.0689724456434967,-0.0509541083763704,0.15609941313341,-0.441849487188973,0.659869542424603,"(-3.749273e-01, 2.369824e-01)","77",0.950889581919105,0.00482105002052188
"13","VH",0.000264598399750205,0.0238510591167138,0.00150924275663722,0.175318648101226,0.861485006891979,"(-2.693517e-03, 3.222714e-03)","56",0.971746762016022,0.211043335159778
"14","WAZ_endo",0.142188050820066,0.28241031276889,0.0557703682981018,2.54952683941493,0.0128287937888413,"(3.287813e-02, 2.514980e-01)","77",0.960455551004396,0.0172263060837963
"15","WHZ_endo",0.140066191880887,0.332907275367157,0.0458112850708514,3.05746044155411,0.00309293057900677,"(5.027607e-02, 2.298563e-01)","77",0.974846945626514,0.130186521938104
