"","Term","Estimate","Standardized","Std. Error","t value","Pr(>|t|)","95% CI","Number_of_observations","shapiro_test","shapiro_test_p"
"1","AgeMonths_endo",0.0243095970204228,0.241036884312377,0.0137060353134225,1.7736417909719,0.082093079017552,"(-2.554232e-03, 5.117343e-02)","53",0.982472090891809,0.623600976474342
"2","CD",0.00414144047648631,0.374799993777136,0.00164039634455854,2.52465844015328,0.0157605102452327,"(9.262636e-04, 7.356617e-03)","41",0.965307265853439,0.240206112668618
"3","ESA",0.0003831878571369,0.125411413876268,0.000485400177720059,0.789426693118956,0.434636035905606,"(-5.681965e-04, 1.334572e-03)","41",0.974627601768772,0.481556234095237
"4","GastricPh_endo",-0.0324665875042042,-0.12514473704097,0.0401979981364251,-0.807666774699032,0.423943677512137,"(-1.112547e-01, 4.632149e-02)","43",0.972001464579675,0.369777547523857
"5","GLP.2_endo",0.0407148918819215,0.128636318326104,0.0509183853866983,0.799610819799436,0.428906598577053,"(-5.908514e-02, 1.405149e-01)","40",0.935304368297804,0.0240807014925532
"6","hiv_charPositive",0.179645723062564,0.18372021517942,0.155923721344603,1.15213850409287,0.256461171090767,"(-1.259648e-01, 4.852562e-01)","40",0.972523794528757,0.431027451337596
"7","I.FABP_endo",2.38488690644773e-05,0.119661663547987,2.82672086531983e-05,0.843693813459679,0.402940613824953,"(-3.155486e-05, 7.925260e-05)","51",0.982095723704425,0.63073262801584
"8","LAZ_endo",0.0808327136501765,0.146942371723979,0.0761929887499203,1.06089438118099,0.293736250618909,"(-6.850554e-02, 2.301710e-01)","53",0.978039220375453,0.433476983152586
"9","LBP_new",0.00687119536920192,0.10272626461293,0.0103909489075341,0.6612673616574,0.51214002235095,"(-1.349506e-02, 2.723746e-02)","43",0.935684044780028,0.0182984886002807
"10","LPS_endo",0.000909547309893572,0.277949250834205,0.000444544712531678,2.04601985864079,0.0460317823215711,"(3.823967e-05, 1.780855e-03)","52",0.98429077484688,0.719370772567872
"11","sCD14_endo",-2.48941430736003e-05,-0.0506287914843217,7.08796687286667e-05,-0.351216978297361,0.726962556046558,"(-1.638183e-04, 1.140300e-04)","50",0.977773772909405,0.462373957215042
"12","SexMale",-0.111924730635773,-0.121640457231501,0.127886858958041,-0.875185547191327,0.385576157772873,"(-3.62583e-01, 1.387335e-01)","53",0.983631925017686,0.677764431073138
"13","VH",-2.1330682318698e-05,-0.00269553720085858,0.00126714273098901,-0.0168336855801944,0.986655122184621,"(-2.504930e-03, 2.462269e-03)","41",0.976570046387889,0.548397075800157
"14","WAZ_endo",0.11817162657476,0.217765736772952,0.0741632697742624,1.59339828104195,0.117250442587091,"(-2.718838e-02, 2.635316e-01)","53",0.984393045774211,0.713402636446115
"15","WHZ_endo",0.0200220253000646,0.0454967317741833,0.0615591715965511,0.325248452517941,0.746323628020128,"(-1.006340e-01, 1.406780e-01)","53",0.979182101379762,0.478802509292429
