Variable,correlation.rho,p_value
AgeMonths_endo,0.20051226704113775,0.08037505992631497
WAZ_endo,0.2045656227694061,0.07432305857165432
WHZ_endo,0.2092373625845313,0.06780633687462788
LAZ_endo,-0.003838544518087996,0.9735691080476176
GLP.2_endo,0.06762733400042424,0.6270479647185276
I.FABP_endo,-0.09254991181560394,0.45633326974154076
LPS_endo,0.19373215138771804,0.11908575104108385
LBP_new,-0.21498992573716624,0.10508499359494976
sCD14_endo,-0.2678008558605574,0.03001078184564898
VH,-0.07624873973669213,0.5764770022344197
CD,0.2932822944196323,0.028256193445095033
ESA,0.10088858509911142,0.4583274913492457
GastricPh_endo,-0.15408396050996903,0.2357668944802066
