Variable,correlation.rho,p_value
AgeMonths_endo,0.2620039845400777,0.06060944698716782
WAZ_endo,0.12726263707590524,0.36862145469162844
WHZ_endo,-0.06506564273731287,0.6467545255191967
LAZ_endo,0.06429440555756874,0.650669643451209
GLP.2_endo,0.3135832837015094,0.058762463377519225
I.FABP_endo,0.009010476048664397,0.9515327825625971
LPS_endo,0.29293245950499136,0.04108802567121257
LBP_new,0.10769230769230771,0.5069876434907431
sCD14_endo,0.014569842738205366,0.922562176735868
VH,0.10825515947467171,0.5047582918177766
CD,0.43672014452443775,0.00484029263841113
ESA,0.17917448405253286,0.2675843453789838
GastricPh_endo,-0.11637035249340953,0.46872349839807304
